a	a:
akstursklúbbi	a k s t Y r_0 s k_h l u p I
akstursleiðin	a k s t Y r_0 s t l ei D I n
aktygi	a: k t_h i j I
aktífir	a x t i v I r
aktífur	a x t i v Y r
akurbrekku	a: k Y r p r E h k Y
akureyrar	a: k Y r ei r a r
akureyrarbæ	a: k Y r ei r a r p ai
akureyrarbæjar	a: k Y r ei r a r p ai j a r
akureyrarbær	a: k Y r ei r a r_0 p ai r
akureyrarkirkju	a: k Y r ei r a r_0 c_h I r_0 c Y
akureyri	a: k Y r ei r I
akureyringa	a: k Y r ei r i N k a
akureyringar	a: k Y r ei r i N k a r
akuryrkju	a: k Y r I r_0 c Y
al	a: l
ala	a: l a
alan	a: l a n
alaska	a: l a s k a
alaskaösp	a: l a s k a 9 s p
alast	a: l a s t
alba	a l p a
albaníu	a l p a n i j Y
albert	a l p E r_0 t
alberto	a l p E r_0 t ou
alberts	a l p E r_0 t s
albertsson	a l p E r_0 t s O n
albion	a l p i j O n
albjart	a l p j a r_0 t
album	a l p u m
alcan	a l_0 k a n
alcohol	a l_0 k ou h O l
alda	a l t a
aldamót	a l t a m ou t
aldamótin	a l t a m ou t I n
aldamótum	a l t a m ou t Y m
aldar	a l t a r
aldarfjórðung	a l t a r f j ou r D u N k
aldarinnar	a l t a r I n a r
aldeilis	a l t ei l I s
aldimmt	a l t I m_0 t
aldin	a l t I n
aldinkjötið	a l t i n c_h 9 t I D
aldir	a l t I r
aldraða	a l t r a D a
aldraðir	a l t r a D I r
aldraðra	a l t r a D r a
aldrei	a l t r ei
aldri	a l t r I
aldrinum	a l t r I n Y m
aldur	a l t Y r
aldurinn	a l t Y r I n
aldurs	a l t Y r_0 s
aldursflokkum	a l t Y r_0 s f l O h k Y m
aldurshópa	a l t Y r_0 s h ou p a
aldurstakmarkið	a l t Y r_0 s t_h a k m a r_0 c I D
aldurstengds	a l t Y r_0 s t_h ei N t s
aldursári	a l t Y r_0 s au r I
aldurtila	a l t Y r t_h I l a
aldís	a l t i s
ale	ei: l
alefli	a: l E p l I
alessandro	a: l E s a n t r O
alex	a: l E k s
alexander	a: l E k s a n t E r
alexandersson	a: l E k s a n t E r_0 s O n
alexandra	a: l E k s a n t r a
alfa	a l f a
alfarið	a l f a r I D
alfreðs	a l f r E D s
alfreðsdóttir	a l f r E D s t ou h t I r
alfreðsson	a l f r E D s O n
alfreðssonar	a l f r E D s O n a r
alfræðiorðabókin	a l f r ai D I O r D a p ou c I n
alfræðiriti	a l f r ai D I r I t I
algeng	a l c ei N k
algengan	a l c ei N k a n
algengar	a l c ei N k a r
algengara	a l c ei N k a r a
algengari	a l c ei N k a r I
algengast	a l c ei N k a s t
algengasta	a l c ei N k a s t a
algengi	a l c ei J c I
algengra	a l c ei N k r a
algengt	a l c ei N_0 t
algengum	a l c ei N k Y m
algengur	a l c ei N k Y r
algengust	a l c ei N k Y s t
alger	a l c E r
algerlega	a l c E r l E G a
algerrar	a l c E r a r
algert	a l c E r_0 t
algjör	a l c 9 r
algjöra	a l c 9 r a
algjöran	a l c 9 r a n
algjörlega	a l c 9 r l E G a
algjörri	a l c 9 r I
algjört	a l c 9 r_0 t
algjöru	a l c 9 r Y
algjörum	a l c 9 r Y m
alheimsins	a: l h ei m s I n s
alheimur	a l h ei m Y r
alhliða	a: l_0 I D a
ali	a: l I
alice	a: l I s
alin	a: l I n
alinn	a: l I n
alist	a: l I s t
alið	a: l I D
alkalírafhlöður	a l_0 k a l i r a f l_0 9 D Y r
alkominn	a l k_h O m I n
alkunna	a l k_h Y n a
alkunnu	a l k_h Y n Y
alkóa	a l_0 k ou a
alkóhólista	a l_0 k ou h ou l I s t a
all	a t l_0
allan	a t l a n
allar	a t l a r
allavega	a t l a v E G a
allavegana	a t l a v E G a n a
allen	a l E n
alles	a l E s
allflóknu	a t l f l ou h k n Y
allforhertur	a t l f O r_0 h E r_0 t Y r
allgemeine	a l k E m ai n E
allgóður	a t l k ou D Y r
allhressilega	a t l_0 r_0 E s I l E G a
alli	a l I
allir	a t l I r
alllengi	a t l ei J c I
allmargar	a t l m a r k a r
allmikið	a t l m I c I D
allmörg	a t l m 9 r k
allmörgum	a t l m 9 r k Y m
allnokkra	a t l n O h k r a
allnokkrar	a t l n O h k r a r
allnokkrum	a t l n O h k r Y m
allnokkur	a t l n O h k Y r
allnokkuð	a t l n O h k Y D
alloft	a t l O f t
allra	a t l r a
allrar	a t l r a r
allri	a t l r I
alls	a l s
allsber	a l s p E r
allsberir	a l s p E r I r
allsendis	a l s E n t I s
allsherjar	a l s h E r j a r
allsherjarnefnd	a l s h E r j a r n E m t
allsherjarnefndar	a l s h E r j a r n E m t a r
allsherjarnefndin	a l s h E r j a r n E m t I n
allsherjarsál	a l s h E r j a r_0 s au l
allsherjartákn	a l s h E r j a r_0 t_h au h k n
allsherjarþinginu	a l s h E r j a r_0 T i J c I n Y
allskonar	a l s k_h O n a r
allskostar	a l s k_h O s t a r
allskyns	a l s c I n s
allsráðandi	a l s r au D a n t I
allstaðar	a l s t a D a r
allstóran	a t l_0 s t ou r a n
allstórir	a t l_0 s t ou r I r
allt	a l_0 t
alltaf	a l_0 t a f
alltof	a l_0 t O f
alltsvo	a l_0 t s O
alltumlykjandi	a l_0 t Y m l I c a n t I
alltént	a l_0 t_h j E n_0 t
allur	a t l Y r
allverulega	a t l v E r Y l E G a
allverulegt	a t l v E r Y l E x t
alma	a l m a
almannafæri	a l m a n a f ai r I
almannafé	a l m a n a f j E
almannahagsmuna	a l m a n a h a x s m Y n a
almannahagsmunir	a l m a n a h a x s m Y n I r
almannaheilla	a l m a n a h ei t l a
almannakambs	a l m a n a k_h a m p s
almannaskarð	a l m a n a s k a r D
almannatenglar	a l m a n a t_h ei N l a r
almannatrygginga	a l m a n a t_h r I c i N k a
almannatryggingar	a l m a n a t_h r I c i N k a r
almannavarna	a l m a n a v a r t n a
almannavarnir	a l m a n a v a r t n I r
almar	a l m a r
almenn	a l m E n
almenna	a l m E n a
almennan	a l m E n a n
almennar	a l m E n a r
almenni	a l m E n I
almennilega	a l m E n I l E G a
almennilegur	a l m E n I l E G Y r
almenning	a l m E n i N k
almenningi	a l m E n i J c I
almenninginn	a l m E n i J c I n
almenningnum	a l m E n i N n Y m
almennings	a l m E n i N s
almenningsbókasöfn	a l m E n i N s p ou k a s 9 p n_0
almenningshlaupa	a l m E n i N s l_0 9i p a
almenningssamgangna	a l m E n i N s a m k au N n a
almenningssamgöngum	a l m E n i N s a m k 9i N k Y m
almenningssamgöngur	a l m E n i N s a m k 9i N k Y r
almenningstindur	a l m E n i N s t_h I n t Y r
almenningsálitið	a l m E n i N s au l I t I D
almenningur	a l m E n i N k Y r
almennir	a l m E n I r
almennra	a l m E n r a
almennrar	a l m E n r a r
almennri	a l m E n r I
almenns	a l m E n s
almennt	a l m E n_0 t
almennu	a l m E n Y
almennum	a l m E n Y m
almennur	a l m E n Y r
almost	O l m ou s t
almáttugan	a l m au h t Y G a n
alnæmi	a l n ai m I
alonso	a l O n s O
alpagreinar	a l_0 p a k r ei n a r
alpaklúbburinn	a l_0 p a k_h l u p Y r I n
alrangt	a l r au N_0 t
alríkislögreglan	a l r i c I s t l 9 G r E k l a n
als	a l s
alsett	a l s E h t
also	O l s ou
alsoddi	a l s O t I
alsír	a l s i r
alt	a l_0 t
altari	a l_0 t a r I
altarisganga	a l_0 t a r I s k au N k a
altarisgöngu	a l_0 t a r I s k 9i N k Y
altarissakramentinu	a l_0 t a r I s a k r a m E n_0 t I n Y
altarissakramentið	a l_0 t a r I s a k r a m E n_0 t I D
altarissveinn	a l_0 t a r I s v ei t n_0
altaristöfluna	a l_0 t a r I s t_h 9 p l Y n a
altekinn	a l t_h E c I n
altsvo	a l_0 t s v O
alvara	a l v a r a
alvarleg	a l v a r l E G
alvarlega	a l v a r l E G a
alvarlegan	a l v a r l E G a n
alvarlegar	a l v a r l E G a r
alvarlegasta	a l v a r l E G a s t a
alvarlegir	a l v a r l ei j I r
alvarlegra	a l v a r l E G r a
alvarlegri	a l v a r l E G r I
alvarlegt	a l v a r l E x t
alvarlegu	a l v a r l E G Y
alvarlegum	a l v a r l E G Y m
alvarlegur	a l v a r l E G Y r
alvarleika	a l v a r l ei k a
alvaro	a l v a r ou
alveg	a l v E G
alversta	a l v E r_0 s t a
alves	a l v E s
alvitur	a l v I t Y r
alvöru	a l v 9 r Y
alvörugefni	a l v 9 r Y c E p n I
alvörupabba	a l v 9 r Y p_h a p a
alvörusvip	a l v 9 r Y s v I p
always	O l v ei s
alzheimer	a l s h ai m E r
alúð	a: l u D
alúðlega	a: l u D l E G a
alþekkt	a l T E x t
alþingi	a l T i J c I
alþingis	a l T i J c I s
alþingishúsið	a l T i J c I s h u s I D
alþingiskosningar	a l T i J c I s k_h O s t n i N k a r
alþingiskosningum	a l T i J c I s k_h O s t n i N k Y m
alþingismanna	a l T i J c I s m a n a
alþingismaður	a l T i J c I s m a D Y r
alþingismenn	a l T i J c I s m E n
alþjóð	a l T j ou D
alþjóða	a l T j ou D a
alþjóðabankans	a l T j ou D a p au N_0 k a n s
alþjóðabankinn	a l T j ou D a p au J_0 c I n
alþjóðagjaldeyrissjóðinn	a l T j ou D a c a l t ei r I s j ou D I n
alþjóðagjaldeyrissjóðnum	a l T j ou D a c a l t ei r I s j ou D n Y m
alþjóðagjaldeyrissjóðsins	a l T j ou D a c a l t ei r I s j ou D s I n s
alþjóðagjaldeyrissjóðurinn	a l T j ou D a c a l t ei r I s j ou D Y r I n
alþjóðamarkaði	a l T j ou D a m a r_0 k a D I
alþjóðasamfélagið	a l T j ou D a s a m f j E l ai j I D
alþjóðasamfélagsins	a l T j ou D a s a m f j E l a x s I n s
alþjóðastofnana	a l T j ou D a s t O p n a n a
alþjóðasveitanna	a l T j ou D a s v ei t a n a
alþjóðasveitirnar	a l T j ou D a s v ei t I r t n a r
alþjóðasveitunum	a l T j ou D a s v ei t O n Y m
alþjóðavettvangi	a l T j ou D a v E h t v au J c I
alþjóðavæðingar	a l T j ou D a v ai D i N k a r
alþjóðleg	a l T j ou D l E G
alþjóðlega	a l T j ou D l E G a
alþjóðlegan	a l T j ou D l E G a n
alþjóðlegar	a l T j ou D l E G a r
alþjóðlegir	a l T j ou D l ei j I r
alþjóðlegra	a l T j ou D l E G r a
alþjóðlegrar	a l T j ou D l E G r a r
alþjóðlegri	a l T j ou D l E G r I
alþjóðlegt	a l T j ou D l E x t
alþjóðlegu	a l T j ou D l E G Y
alþjóðlegum	a l T j ou D l E G Y m
alþjóðlegur	a l T j ou D l E G Y r
alþýðu	a l T i D Y
alþýðubandalaginu	a l T i D Y p a n t a l ai j I n Y
alþýðuflokksins	a l T i D Y f l O h k s I n s
alþýðufylkingarinnar	a l T i D Y f I l_0 c i N k a r I n a r
alþýðusamband	a l T i D Y s a m p a n t
alþýðusambandið	a l T i D Y s a m p a n t I D
alþýðusambands	a l T i D Y s a m p a n t s
alþýðusambandsins	a l T i D Y s a m p a n t s I n s
am	a: m
amazon	a: m a s O n
ambient	a m p i E n_0 t
ameríkaninn	a: m E r i k_h a n I n
ameríku	a: m E r i k Y
ameríska	a: m E r i s k a
amerískur	a: m E r i s k Y r
amfetamín	a m f E t a m i n
amfetamíni	a m f E t a m i n I
amfetamínneytendur	a m f E t a m i n ei t E n t Y r
amma	a m a
amnesty	a m n E s t i
amper	a m_0 p E r
amsterdam	a m s t E r t a m
amtbókasafninu	a m_0 t p ou k a s a p n I n Y
amtmanni	a m_0 t m a n I
amtmaður	a m_0 t m a D Y r
amtsbókasafnið	a m_0 t s p ou k a s a p n I D
amy	ei: m i
ana	a: n a
ananas	a: n a n a s
and	a n t
anda	a n t a
andagift	a n t a c I f t
andakt	a n t a x t
andaktugur	a n t a x t Y G Y r
andann	a n t a n
andapollinn	a n t a p_h O t l I n
andarslitrunum	a n t a r_0 s t l I t r O n Y m
andartaki	a n t a r_0 t_h a c I
andartakið	a n t a r_0 t_h a c I D
andartaksins	a n t a r t_h a k s I n s
andartaksstund	a n t a r_0 t_h a k s t Y n t
andartökum	a n t a r t_h 9 k Y m
andarunga	a n t a r u N k a
andarungi	a n t a r u J c I
andavatn	a n t a v a h t n_0
andaðist	a n t a D I s t
anddyri	a n t I r I
anders	a n t E r_0 s
andersen	a n t E r_0 s E n
anderson	a n t E r_0 s O n
andersson	a n t E r_0 s O n
andesfjöllin	a n t E s f j 9 t l I n
andfélagslega	a n t f j E l a x s t l E G a
andi	a n t I
andinn	a n t I n
andleg	a n t l E G
andlega	a n t l E G a
andlegra	a n t l E G r a
andlegri	a n t l E G r I
andlegt	a n t l E x t
andlegu	a n t l E G Y
andlegum	a n t l E G Y m
andlit	a n t l I t
andliti	a n t l I t I
andlitinu	a n t l I t I n Y
andlitið	a n t l I t I D
andlitslyftingu	a n t l I t s t l I f t i N k Y
andlitslyftur	a n t l I t s t l I f t Y r
andlitssnyrtingu	a n t l I t s t n I r_0 t i N k Y
andlitssvip	a n t l I t s v I p
andlát	a n t l au t
andláti	a n t l au t I
andlátið	a n t l au t I D
andmæla	a n t m ai l a
andmæli	a n t m ai l I
andmælum	a n t m ai l Y m
andorra	a n t O r a
andra	a n t r a
andre	a n t r E
andrea	a n t r E a
andreas	a n t r E a s
andreu	a n t r E Y
andrew	a n t r u
andrews	a n t r j u s
andri	a n t r I
android	a n t r Oi t
andrés	a n t r j E s
andrésdóttir	a n t r j E s t ou h t I r
andrésson	a n t r j E s O n
andrúmsloft	a n t r u m s t l O f t
andrúmslofti	a n t r u m s t l O f t I
andrúmsloftið	a n t r u m s t l O f t I D
andskota	a n t s k O t a
andskotann	a n t s k O t a n
andskoti	a n t s k O t I
andskotinn	a n t s k O t I n
andskáldsöguna	a n t s k au l t s 9 G Y n a
andsnúinn	a n t s t n u I n
andspænis	a n t s p ai n I s
andstaða	a n t s t a D a
andstreymi	a n t s t r ei m I
andstyggilega	a n t s t I c I l E G a
andstyggilegt	a n t s t I c I l E x t
andstyggilegur	a n t s t I c I l E G Y r
andstyggð	a n t s t I G D
andstyggðar	a n t s t I G D a r
andstætt	a n t s t ai h t
andstæð	a n t s t ai D
andstæða	a n t s t ai D a
andstæðing	a n t s t ai D i N k
andstæðinga	a n t s t ai D i N k a
andstæðingar	a n t s t ai D i N k a r
andstæðingarnir	a n t s t ai D i N k a r t n I r
andstæðingum	a n t s t ai D i N k Y m
andstæðingur	a n t s t ai D i N k Y r
andstæðingurinn	a n t s t ai D i N k Y r I n
andstæðir	a n t s t ai D I r
andstæðu	a n t s t ai D Y
andstæður	a n t s t ai D Y r
andstöðu	a n t s t 9 D Y
andstöðuflokkur	a n t s t 9 D Y f l O h k Y r
andsvar	a n t s v a r
andsvari	a n t s v a r I
andvaka	a n t v a k a
andvari	a n t v a r I
andvarp	a n t v a r_0 p
andvarpandi	a n t v a r_0 p a n t I
andvarpaði	a n t v a r_0 p a D I
andvarpi	a n t v a r_0 p I
andvirði	a n t v I r D I
andvíg	a n t v i G
andvígir	a n t v i j I r
andvígur	a n t v i G Y r
andvörpum	a n t v 9 r_0 p Y m
andy	a n t i
andúð	a n t u D
anelka	a n E l_0 k a
anfield	a n f i l t
ang	au N k
anga	au N k a
angan	au N k a n
angandi	au N k a n t I
angar	au N k a r
angel	ei J c E l
angela	a J c E l a
angeles	a n t j E l E s
angels	ei n t j E l s
angelu	a J c E l Y
angi	au J c I
anginn	au J c I n
angistarfull	au J c I s t a r_0 f Y t l_0
angraði	au N k r a D I
angur	au N k Y r
angurfull	au N k Y r_0 f Y t l_0
angurvært	au N k Y r v ai r_0 t
animal	a: n I m a l
animals	a: n I m a l s
ankara	a N_0 k a r a
ann	a n
anna	a n a
annan	a n a n
annar	a n a r
annara	a n a r a
annari	a n a r I
annarlega	a n a r l E G a
annarlegri	a n a r l E G r I
annarlegu	a n a r l E G Y
annarra	a n a r a
annarrar	a n a r a r
annarri	a n a r I
annars	a n a r_0 s
annarskonar	a n a r_0 s k O n a r
annarsstaðar	a n a r_0 s t a D a r
annarsvegar	a n a r_0 s v E G a r
annast	a n a s t
annað	a n a D
annaðhvort	a n a D k_h v O r_0 t
annaðist	a n a D I s t
anne	a n
annie	a n i
annika	a n I k a
annist	a n I s t
annmarka	a n m a r_0 k a
annmarkar	a n m a r_0 k a r
annmörkum	a n m 9 r_0 k Y m
annríkt	a n r i x t
annt	a n_0 t
annual	a n j u a l
ansi	a n s I
answer	a n s 9 r
anthony	a n T O n i
anti	a n_0 t i
antoine	a n_0 t v a n
anton	a n_0 t O n
antonio	a n t_h O n I O
antonsdóttir	a n_0 t O n s t ou h t I r
antonsson	a n_0 t O n s O n
any	E: n i
anyone	E: n i v O n
anything	E: n i T i N
anywhere	E: n i v E r
aníta	a: n i t a
apa	a: p a
apes	ei: p s
api	a: p I
app	a h p
apparat	a h p a r a t
appelsín	a h p E l s i n
appelsínugul	a h p E l s i n Y G Y l
appelsínugulum	a h p E l s i n Y G Y l Y m
appelsínugulur	a h p E l s i n Y k Y l Y r
appelsínuhúð	a h p E l s i n Y h u D
appelsínur	a h p E l s i n Y r
appelsínurnar	a h p E l s i n Y r t n a r
appelsínusafa	a h p E l s i n Y s a v a
appelsínusíld	a h p E l s i n Y s i l t
apple	a h p u l
april	ei: p_h r I l
aprílkönnun	a: p_h r i l_0 k_h 9 n Y n
aprílmánuði	a: p_h r i l m au n Y D I
apótek	a: p ou t_h E k
apótekari	a: p ou t_h E k a r I
ara	a: r a
arabíska	a: r a p i s k a
