a	aː
afkastamikill	a v kʰ a s t a m ɪ c ɪ t l̥
afklæddist	a v kʰ l ai t ɪ s t
afklæðast	a v kʰ l ai ð a s t
afkoma	a v kʰ ɔ m a
afkoman	a v kʰ ɔ m a n
afkomandi	a v kʰ ɔ m a n t ɪ
afkomenda	a v kʰ ɔ m ɛ n t a
afkomendum	a v kʰ ɔ m ɛ n t ʏ m
afkomendur	a v kʰ ɔ m ɛ n t ʏ r
afkomu	a v kʰ ɔ m ʏ
afkomukreppu	a v kʰ ɔ m ʏ kʰ r ɛ h p ʏ
afkomuna	a v kʰ ɔ m ʏ n a
afkomutölur	a v kʰ ɔ m ʏ tʰ œ l ʏ r
afkvæmarannsókn	a v kʰ v ai m a r a n s ou h k n̥
afkvæmi	a v kʰ v ai m ɪ
afkvæmum	a v kʰ v ai m ʏ m
afköst	a v kʰ œ s t
afköstum	a v kʰ œ s t ʏ m
afl	a p l̥
afla	a p l a
aflabrögð	a p l a p r œ ɣ ð
aflaheimild	a p l a h ei m ɪ l t
aflaheimilda	a p l a h ei m ɪ l t a
aflaheimildir	a p l a h ei m ɪ l t ɪ r
aflaheimildum	a p l a h ei m ɪ l t ʏ m
aflahlutdeild	a p l a l̥ ʏ t ei l t
aflahlutdeildum	a p l a l̥ ʏ t ei l t ʏ m
aflamark	a p l a m a r̥ k
aflamarki	a p l a m a r̥ c ɪ
aflamarks	a p l a m a r̥ k s
aflamarksbátum	a p l a m a r̥ k s p au t ʏ m
aflamarkskerfi	a p l a m a r̥ k s cʰ ɛ r v ɪ
aflandsfélög	a v l a n t s f j ɛ l œ ɣ
aflann	a p l a n
aflans	a p l a n s
aflanum	a p l a n ʏ m
aflar	a p l a r
aflaskýrslu	a p l a s c i r̥ s t l ʏ
aflausn	a v l œy s t n̥
aflaverðmæti	a p l a v ɛ r ð m ai t ɪ
aflað	a p l a ð
aflaði	a p l a ð ɪ
afleggjaranum	a v l ɛ c a r a n ʏ m
afleidd	a v l ei t
afleit	a v l ei t
afleitt	a v l ei h t
afleiða	a v l ei ð a
afleiðing	a v l ei ð i ŋ k
afleiðinga	a v l ei ð i ŋ k a
afleiðingar	a v l ei ð i ŋ k a r
afleiðingarnar	a v l ei ð i ŋ k a r t n a r
afleiðingin	a v l ei ð i ɲ c ɪ n
afleiðingu	a v l ei ð i ŋ k ʏ
afleiðingum	a v l ei ð i ŋ k ʏ m
afleiðingunum	a v l ei ð i ŋ k ɔ n ʏ m
afli	a p l ɪ
aflinn	a p l ɪ n
aflið	a p l ɪ ð
afloknum	a v l ɔ h k n ʏ m
afls	a p l s
afláts	a v l au t s
aflétt	a v l j ɛ h t
aflétta	a f l j ɛ h t a
aflýsa	a v l i s a
aflýst	a v l i s t
afmarka	a v m a r̥ k a
afmarkast	a v m a r̥ k a s t
afmarkað	a v m a r̥ k a ð
afmarkaða	a v m a r̥ k a ð a
afmarkaður	a v m a r̥ k a ð ʏ r
afmá	a v m au
afmæli	a v m ai l ɪ
afmælinu	a v m ai l ɪ n ʏ
afmælis	a v m ai l ɪ s
afmælisbarns	a v m ai l ɪ s p a r̥ s
afmælisdaginn	a v m ai l ɪ s t ai j ɪ n
afmælisdagur	a v m ai l ɪ s t a ɣ ʏ r
afmælisdegi	a v m ai l ɪ s t ei j ɪ
afmælisgjöf	a v m ai l ɪ s c œ f
afmælisins	a v m ai l ɪ s ɪ n s
afmælissamkomu	a v m ai l ɪ s a m kʰ ɔ m ʏ
afmælissönginn	a v m ai l ɪ s œy ɲ c ɪ n
afmælissöngnum	a v m ai l ɪ s œy ŋ n ʏ m
afmælisveislan	a v m ai l ɪ s v ei s t l a n
afmælisveislu	a v m ai l ɪ s v ei s t l ʏ
afmælið	a v m ai l ɪ ð
afmörkun	a v m œ r̥ k ʏ n
afmörkuð	a v m œ r̥ k ʏ ð
afmörkuðu	a v m œ r̥ k ʏ ð ʏ
afmörkuðum	a v m œ r̥ k ʏ ð ʏ m
afneita	a v n ei t a
afneitun	a v n ei t ʏ n
afnema	a v n ɛ m a
afnot	a v n ɔ t
afnota	a v n ɔ t a
afnotarétt	a v n ɔ t a r j ɛ h t
afnumin	a v n ʏ m ɪ n
afnuminn	a v n ʏ m ɪ n
afnumið	a v n ʏ m ɪ ð
afnám	a v n au m
afnámi	a v n au m ɪ
afnáms	a v n au m s
afoxun	aː v ɔ k s ʏ n
afplána	a v p l au n a
afplánað	a v pʰ l au n a ð
afplánun	a v pʰ l au n ʏ n
afrakstur	a v r a k s t ʏ r
afraksturinn	a v r a k s t ʏ r ɪ n
afrek	a v r ɛ k
afreka	a v r ɛ k a
afrekað	a v r ɛ k a ð
afrekum	a v r ɛ k ʏ m
africa	a f r ɪ k a
african	a f r ɪ k a n
afrifu	a v r ɪ v ʏ
afrit	a v r ɪ t
afritunarhnappinn	a v r ɪ t ʏ n a r̥ n̥ a h p ɪ n
afrétti	a v r j ɛ h t ɪ
afríka	aː f r i k a
afríku	a f r i k ʏ
afríkuverkefnisins	a f r i k ʏ v ɛ r̥ k ɛ p n ɪ s ɪ n s
afsagnar	a f s a k n a r
afsaka	a f s a k a
afsakanir	a f s a k a n ɪ r
afsakanirnar	a f s a k a n ɪ r t n a r
afsal	a f s a l
afsala	a f s a l a
afsalað	a f s a l a ð
afsalaði	a f s a l a ð ɪ
afsali	a f s a l ɪ
afsalinu	a f s a l ɪ n ʏ
afsals	a f s a l s
afskaplega	a f s k a p l ɛ ɣ a
afskekkt	a f s c ɛ x t
afskekkta	a f s c ɛ x t a
afskekktan	a f s c ɛ x t a n
afskekktum	a f s c ɛ x t ʏ m
afskipta	a f s c ɪ f t a
afskiptalaus	a f s c ɪ f t a l œy s
afskiptalausa	a f s c ɪ f t a l œy s a
afskiptasemi	a f s c ɪ f t a s ɛ m ɪ
afskipti	a f s c ɪ f t ɪ
afskiptum	a f s c ɪ f t ʏ m
afskrifa	a f s k r ɪ v a
afskrifað	a f s k r ɪ v a ð
afskrifaðar	a f s k r ɪ v a ð a r
afskrifta	a f s k r ɪ f t a
afskriftareikning	a f s k r ɪ f t a r ei h k n i ŋ k
afskriftir	a f s k r ɪ f t ɪ r
afskriftum	a f s k r ɪ f t ʏ m
afskræmt	a f s k r ai m̥ t
afslappaður	a f s t l a h p a ð ʏ r
afslátt	a f s t l au h t
afsláttar	a f s t l au h t a r
afsláttur	a f s t l au h t ʏ r
afslætti	a f s t l ai h t ɪ
afsprengi	a f s p r ei ɲ c ɪ
afstaða	a f s t a ð a
afstaðan	a f s t a ð a n
afstætt	a f s t ai h t
afstæður	a f s t ai ð ʏ r
afstöðu	a f s t œ ð ʏ
afstöðubreytingu	a f s t œ ð ʏ p r ei t i ŋ k ʏ
afstýra	a f s t i r a
afstýrt	a f s t i r̥ t
afsögn	a f s œ k n̥
afsökun	a f s œ k ʏ n
afsökunar	a f s œ k ʏ n a r
afsökunarbeiðni	a f s œ k ʏ n a r p ei ð n ɪ
aftan	a f t a n
aftansöngur	a f t a n s œy ŋ k ʏ r
aftar	a f t a r
aftari	a f t a r ɪ
aftarlega	a f t a r l ɛ ɣ a
aftast	a f t a s t
aftenposten	a f t ɛ n pʰ ou s t ɛ n
after	a f t ɛ r
aftonbladet	a f t ɔ n p l a t ɛ t
aftra	a f t r a
aftur	a f t ʏ r
afturelding	a f t ʏ r ɛ l t i ŋ k
aftureldingar	a f t ʏ r ɛ l t i ŋ k a r
aftureldingu	a f t ʏ r ɛ l t i ŋ k ʏ
afturenda	a f t ʏ r ɛ n t a
afturendann	a f t ʏ r ɛ n t a n
afturför	a f t ʏ r̥ f œ r
afturgluggann	a f t ʏ r k l ʏ k a n
afturgoldið	a f t ʏ r k ɔ l t ɪ ð
afturgöngu	a f t ʏ r̥ k œy ŋ k ʏ
afturgöngur	a f t ʏ r k œy ŋ k ʏ r
afturhald	a f t ʏ r̥ h a l t
afturhvarf	a f t ʏ r̥ kʰ v a r f
afturkalla	a f t ʏ r̥ kʰ a t l a
afturkallað	a f t ʏ r̥ kʰ a t l a ð
afturkvæmt	a f t ʏ r̥ kʰ v ai m̥ t
afturköllun	a f t ʏ r̥ kʰ œ t l ʏ n
afturkölluð	a f t ʏ r̥ kʰ œ t l ʏ ð
afturlappirnar	a f t ʏ r l a h p ɪ r t n a r
afturstuðarann	a f t ʏ r̥ s t ʏ ð a r a n
aftursæti	a f t ʏ r̥ s ai t ɪ
aftursætið	a f t ʏ r̥ s ai t ɪ ð
afturvirkt	a f t ʏ r v ɪ r̥ t
afturábak	a f t ʏ r au p a k
afturí	a f t ʏ r i
aftöku	a f tʰ œ k ʏ
aftökur	a f tʰ œ k ʏ r
afurð	aː v ʏ r ð
afurða	aː v ʏ r ð a
afurðanna	aː v ʏ r ð a n a
afurðasamsetning	aː v ʏ r ð a s a m s ɛ h t n i ŋ k
afurðatekjum	aː v ʏ r ð a tʰ ɛ c ʏ m
afurðaverð	aː v ʏ r ð a v ɛ r ð
afurðir	aː v ʏ r ð ɪ r
afurðirnar	aː v ʏ r ð ɪ r t n a r
afurðum	aː v ʏ r ð ʏ m
afviknum	a v ɪ h k n ʏ m
afvopna	a v ɔ h p n a
afvopnun	a v ɔ h p n ʏ n
afþakkað	a f θ a h k a ð
afþakkaði	a f θ a h k a ð ɪ
afþreying	a f θ r ei j i ŋ k
afþreyingar	a f θ r ei j i ŋ k a r
afþreyingu	a f θ r ei j i ŋ k ʏ
aga	aː ɣ a
again	a c ɛ n
agalegt	aː ɣ a l ɛ x t
aganefnd	aː ɣ a n ɛ m t
age	eiː t s
aged	eiː t s t
agency	eiː t j ɛ n s i
agent	ei t j ɛ n̥ t
agenta	eiː t j ɛ n̥ t a
agentana	eiː t j ɛ n̥ t a n a
agentar	eiː t j ɛ n̥ t a r
agentinn	eiː t j ɛ n̥ t ɪ n
agents	eiː t j ɛ n̥ t s
agentum	eiː t j ɛ n̥ t ʏ m
aggagagg	a k a k a k
agger	a c ɛ r
aggi	a c ɪ
agi	ai j ɪ
aginn	ai j ɪ n
agitera	a c ɪ tʰ ɛ r a
agiterað	a c ɪ tʰ ɛ r a ð
agla	a k l a
agli	a k l ɪ
agn	a k n̥
agnar	a k n a r
agnarpunkts	a k n a r̥ pʰ u n̥ t s
agnars	a k n a r̥ s
agnarsdóttir	a k n a r̥ s t ou h t ɪ r
agnarsson	a k n a r̥ s ɔ n
agnes	a k n ɛ s
agnesar	a k n ɛ s a r
agnesi	a k n ɛ s ɪ
agressíf	aː k r ɛ s i v
agressífa	aː k r ɛ s i v a
agressífar	aː k r ɛ s i v a r
agressífari	aː k r ɛ s i v a r ɪ
agressífastur	aː k r ɛ s i v a s t ʏ r
agressífir	aː k r ɛ s i v ɪ r
agressífra	aː k r ɛ s i v r a
agressífri	aː k r ɛ s i v r ɪ
agressíft	aː k r ɛ s i f t
agressífu	aː k r ɛ s i v ʏ
agressífum	aː k r ɛ s i v ʏ m
agressífur	aː k r ɛ s i v ʏ r
agressív	aː k r ɛ s i v
agressíva	aː k r ɛ s i v a
agressívan	aː k r ɛ s i v a n
agressívar	aː k r ɛ s i v a r
agressívara	aː k r ɛ s i v a r a
agressívari	aː k r ɛ s i v a r ɪ
agressívi	aː k r ɛ s i v ɪ
agressívir	aː k r ɛ s i v ɪ r
agressívra	aː k r ɛ s i v r a
agressívri	aː k r ɛ s i v r ɪ
agressívt	aː k r ɛ s i v t
agressívu	aː k r ɛ s i v ʏ
agressívum	aː k r ɛ s i v ʏ m
agressívur	aː k r ɛ s i v ʏ r
ags	a c j ɛː ɛ s
agúrka	aː k u r̥ k a
agúrkan	aː k u r̥ k a n
agúrkna	aː k u r̥ k n a
agúrku	aː k u r̥ k ʏ
agúrkum	aː k u r̥ k ʏ m
agúrkuna	aː k u r̥ k ʏ n a
agúrkunnar	aː k u r̥ k ʏ n a r
agúrkunni	aː k u r̥ k ʏ n ɪ
agúrkunum	aː k u r̥ k ɔ n ʏ m
agúrkur	aː k u r̥ k ʏ r
agúrkurnar	aː k u r̥ k ʏ r t n a r
agúrkusalat	a k u r̥ k ʏ s a l a t
agúrkusneið	aː k u r̥ k ʏ s t n ei ð
agúrkusneiðar	aː k u r̥ k ʏ s t n ei ð a r
agúrkusneiðum	aː k u r̥ k ʏ s t n ei ð ʏ m
agüero	a k u ɛ r ou
ahmadinejad	a x m a t i n ei j a t
ahmed	a x m ɛ t
aid	eiː t
aik	aː ɪː kʰ auː
aim	eiː m
ain't	ei n̥ t
air	ɛː r
airbus	ɛː r̥ p œ s
aircraft	ɛː r̥ kʰ r a f t
aires	aiː r ɛ s
airline	ɛː r l ai n
airlines	ɛː r l ai n s
airport	ɛː r̥ pʰ ɔ r̥ t
ajax	ai j a k s
aka	aː k a
akademíunnar	aː k a t ɛ m i j ʏ n a r
akandi	aː k a n t ɪ
aki	aː c ɪ
akkeri	a h c ɛ r ɪ
akkilesarhæll	a h c ɪ l ɛ s a r̥ h ai t l̥
akkillesarhæll	a h c ɪ l ɛ s a r̥ h ai t l̥
akkúrat	a h k u r a t
aknet	aː k n ɛ t
akrafjall	aː k r a f j a t l̥
akrahreppi	aː k r a r̥ ɛ h p ɪ
akranes	aː k r a n ɛ s
akranesi	aː k r a n ɛ s ɪ
akraneskaupstaðar	aː k r a n ɛ s kʰ œy p s t a ð a r
akraneskirkja	aː k r a n ɛ s cʰ ɪ r̥ c a
akraness	aː k r a n ɛ s
akrar	aː k r a r
akrein	aː k r ei n
akreina	aː k r ei n a
akreinar	aː k r ei n a r
akri	aː k r ɪ
akrinum	aː k r ɪ n ʏ m
akrópólis	aː k r ou pʰ ou l ɪ s
akstri	a k s t r ɪ
akstur	a k s t ʏ r
aksturinn	a k s t ʏ r ɪ n
aksturs	a k s t ʏ r̥ s
akstursklúbbi	a k s t ʏ r̥ s kʰ l u p ɪ
akstursleiðin	a k s t ʏ r̥ s t l ei ð ɪ n
aktygi	aː k tʰ i j ɪ
aktífir	a x t i v ɪ r
aktífur	a x t i v ʏ r
akurbrekku	aː k ʏ r p r ɛ h k ʏ
akureyrar	aː k ʏ r ei r a r
akureyrarbæ	aː k ʏ r ei r a r p ai
akureyrarbæjar	aː k ʏ r ei r a r p ai j a r
akureyrarbær	aː k ʏ r ei r a r p ai r
akureyrarflugvelli	aː k ʏ r ei r a r̥ f l ʏ ɣ v ɛ t l ɪ
akureyrarkirkja	aː k ʏ r ei r a r cʰ ɪ r̥ c a
akureyrarkirkju	aː k ʏ r ei r a r̥ cʰ ɪ r̥ c ʏ
akureyri	aː k ʏ r ei r ɪ
akureyringa	aː k ʏ r ei r i ŋ k a
akureyringar	aː k ʏ r ei r i ŋ k a r
akuryrkju	aː k ʏ r ɪ r̥ c ʏ
akvarellu	aː kʰ v a r ɛ l ʏ
al	aː l
ala	aː l a
alain	aː l a n
alan	aː l a n
alaska	aː l a s k a
alaskaösp	aː l a s k a œ s p
alast	aː l a s t
alaves	aː l a v ɛ s
alba	a l p a
albanía	a l p a n i j a
albaníu	a l p a n i j ʏ
albert	a l p ɛ r̥ t
alberto	a l p ɛ r̥ t ou
alberts	a l p ɛ r̥ t s
albertsdóttir	a l p ɛ r̥ t s t ou h t ɪ r
albertsson	a l p ɛ r̥ t s ɔ n
albion	a l p i j ɔ n
albjart	a l p j a r̥ t
album	a l p u m
alcan	a l̥ k a n
alcohol	a l̥ k ou h ɔ l
alda	a l t a
aldamót	a l t a m ou t
aldamótin	a l t a m ou t ɪ n
aldamótum	a l t a m ou t ʏ m
aldanna	a l t a n a
aldar	a l t a r
aldarfjórðung	a l t a r f j ou r ð u ŋ k
aldarfjórðungi	a l t a r̥ f j ou r ð u ɲ c ɪ
aldarinnar	a l t a r ɪ n a r
aldeilis	a l t ei l ɪ s
aldimmt	a l t ɪ m̥ t
aldin	a l t ɪ n
aldinkjötið	a l t ɪ n cʰ œ t ɪ ð
aldir	a l t ɪ r
aldirnar	a l t ɪ r t n a r
aldna	a l t n a
aldnir	a l t n ɪ r
aldraða	a l t r a ð a
aldraðir	a l t r a ð ɪ r
aldraðra	a l t r a ð r a
aldraður	a l t r a ð ʏ r
aldrei	a l t r ei
aldri	a l t r ɪ
aldrinum	a l t r ɪ n ʏ m
aldur	a l t ʏ r
aldurinn	a l t ʏ r ɪ n
aldurs	a l t ʏ r̥ s
aldursflokki	a l t ʏ r̥ s f l ɔ h c ɪ
aldursflokkum	a l t ʏ r̥ s f l ɔ h k ʏ m
aldurshópa	a l t ʏ r̥ s h ou p a
aldurshópnum	a l t ʏ r̥ s h ou h p n ʏ m
aldurshópum	a l t ʏ r̥ s h ou p ʏ m
aldurshópur	a l t ʏ r̥ s h ou p ʏ r
aldursmunur	a l t ʏ r̥ s m ʏ n ʏ r
aldurstakmark	a l t ʏ r̥ s tʰ a k m a r̥ k
aldurstakmarkið	a l t ʏ r̥ s tʰ a k m a r̥ c ɪ ð
aldurstengds	a l t ʏ r̥ s tʰ ei ŋ t s
aldursári	a l t ʏ r̥ s au r ɪ
aldurtila	a l t ʏ r̥ tʰ ɪ l a
aldís	a l t i s
ale	eiː l
alefli	aː l ɛ p l ɪ
aleksandar	aː l ɛ k s a n t a r
alelda	aː l ɛ l t a
alessandro	aː l ɛ s a n t r ɔ
alex	aː l ɛ k s
alexander	aː l ɛ k s a n t ɛ r
alexanders	aː l ɛ k s a n t ɛ r̥ s
alexandersson	aː l ɛ k s a n t ɛ r̥ s ɔ n
alexandra	aː l ɛ k s a n t r a
alexandre	aː l ɛ k s a n t ɛ r
alfa	a l f a
alfarið	a l f a r ɪ ð
alfred	a l f r ɛ t
alfreðs	a l f r ɛ ð s
alfreðsdóttir	a l f r ɛ ð s t ou h t ɪ r
alfreðsson	a l f r ɛ ð s ɔ n
alfreðssonar	a l f r ɛ ð s ɔ n a r
alfræðiorðabókin	a l f r ai ð ɪ ɔ r ð a p ou c ɪ n
alfræðiriti	a l f r ai ð ɪ r ɪ t ɪ
algarve	a l k a r v ɛ
algeng	a l c ei ŋ k
algengan	a l c ei ŋ k a n
algengar	a l c ei ŋ k a r
algengara	a l c ei ŋ k a r a
algengari	a l c ei ŋ k a r ɪ
algengast	a l c ei ŋ k a s t
algengasta	a l c ei ŋ k a s t a
algengi	a l c ei ɲ c ɪ
algengir	a l c ei ɲ c ɪ r
algengra	a l c ei ŋ k r a
algengt	a l c ei ŋ̊ t
algengum	a l c ei ŋ k ʏ m
algengur	a l c ei ŋ k ʏ r
algengust	a l c ei ŋ k ʏ s t
alger	a l c ɛ r
algera	a l c ɛ r a
algerlega	a l c ɛ r l ɛ ɣ a
algerrar	a l c ɛ r a r
algerri	a l c ɛ r ɪ
algert	a l c ɛ r̥ t
algeru	a l c ɛ r ʏ
algjör	a l c œ r
algjöra	a l c œ r a
algjöran	a l c œ r a n
algjörlega	a l c œ r l ɛ ɣ a
algjörri	a l c œ r ɪ
algjört	a l c œ r̥ t
algjöru	a l c œ r ʏ
algjörum	a l c œ r ʏ m
alheimsins	aː l h ei m s ɪ n s
alheimur	a l h ei m ʏ r
alhliða	aː l̥ ɪ ð a
alhug	aː l h ʏ ɣ
ali	aː l ɪ
alice	aː l ɪ s
aliexpress	aː l i j ɛ k s p r ɛ s
alin	aː l ɪ n
alinn	aː l ɪ n
alist	aː l ɪ s t
alið	aː l ɪ ð
alkalírafhlöður	a l̥ k a l i r a f l̥ œ ð ʏ r
alkominn	a l kʰ ɔ m ɪ n
alkunna	a l kʰ ʏ n a
alkunnu	a l kʰ ʏ n ʏ
alkóa	a l̥ k ou a
alkóhólista	a l̥ k ou h ou l ɪ s t a
all	a t l̥
alla	a l a
allaballa	a l a p a l a
allaballanna	a l a p a l a n a
allaballar	a l a p a l a r
allaballarnir	a l a p a l a t n ɪ r
allaballi	a l a p a l ɪ
allaballinn	a l a p a l ɪ n
allaböllum	a l a p œ l ʏ m
allan	a t l a n
allar	a t l a r
allavega	a t l a v ɛ ɣ a
allavegana	a t l a v ɛ ɣ a n a
allegóría	a l ɛ ɣ ou r i a
allegórían	a l ɛ k ou r i a n
allegóríu	a l ɛ k ou r i j ʏ
allegóríur	a l ɛ k ou r i j ʏ r
allen	a l ɛ n
alles	a l ɛ s
allflóknu	a t l̥ f l ou h k n ʏ
allforhertur	a t l̥ f ɔ r̥ h ɛ r̥ t ʏ r
allgemeine	a l k ɛ m ai n ɛ
allgóður	a t l̥ k ou ð ʏ r
allhressilega	a t l̥ r̥ ɛ s ɪ l ɛ ɣ a
alli	a l ɪ
allir	a t l ɪ r
alllangt	a t l au ŋ̊ t
alllengi	a t l ei ɲ c ɪ
allmargar	a t l m a r k a r
allmargir	a t l m a r c ɪ r
allmargur	a t l m a r k ʏ r
allmikið	a t l m ɪ c ɪ ð
allmiklu	a t l m ɪ h k l ʏ
allmörg	a t l m œ r k
allmörgum	a t l m œ r k ʏ m
allnokkra	a t l n ɔ h k r a
allnokkrar	a t l n ɔ h k r a r
allnokkrum	a t l n ɔ h k r ʏ m
allnokkur	a t l n ɔ h k ʏ r
allnokkuð	a t l n ɔ h k ʏ ð
alloft	a t l ɔ f t
allra	a t l r a
allrar	a t l r a r
allri	a t l r ɪ
alls	a l s
allsber	a l s p ɛ r
allsberir	a l s p ɛ r ɪ r
allsendis	a l s ɛ n t ɪ s
allsherjar	a l s h ɛ r j a r
allsherjarnefnd	a l s h ɛ r j a r n ɛ m t
allsherjarnefndar	a l s h ɛ r j a r n ɛ m t a r
allsherjarnefndin	a l s h ɛ r j a r n ɛ m t ɪ n
allsherjarsál	a l s h ɛ r j a r̥ s au l
allsherjartákn	a l s h ɛ r j a r̥ tʰ au h k n
allsherjarþingi	a l s h ɛ r j a r̥ θ i ɲ c ɪ
allsherjarþinginu	a l s h ɛ r j a r̥ θ i ɲ c ɪ n ʏ
allskonar	a l s k ɔ n a r
allskostar	a l s k ɔ s t a r
allskyns	a l s c ɪ n s
allsráðandi	a l s r au ð a n t ɪ
allsstaðar	a l s t a ð a r
allstaðar	a l s t a ð a r
allstóran	a t l̥ s t ou r a n
allstórir	a t l̥ s t ou r ɪ r
allt	a l̥ t
alltaf	a l̥ t a f
alltof	a l̥ t ɔ f
alltsvo	a l̥ t s ɔ
alltumlykjandi	a l̥ t ʏ m l ɪ c a n t ɪ
alltént	a l̥ tʰ j ɛ n̥ t
allur	a t l ʏ r
allverulega	a t l v ɛ r ʏ l ɛ ɣ a
allverulegt	a t l v ɛ r ʏ l ɛ x t
allýjar	a l i j a r
alma	a l m a
almannafæri	a l m a n a f ai r ɪ
almannafé	a l m a n a f j ɛ
almannahagsmuna	a l m a n a h a x s m ʏ n a
almannahagsmuni	a l m a n a h a x s m ʏ n ɪ
almannahagsmunir	a l m a n a h a x s m ʏ n ɪ r
almannahagsmunum	a l m a n a h a x s m ʏ n ʏ m
almannaheilla	a l m a n a h ei t l a
almannakambs	a l m a n a kʰ a m p s
almannaskarð	a l m a n a s k a r ð
almannatenglar	a l m a n a tʰ ei ŋ l a r
almannatrygginga	a l m a n a tʰ r ɪ c i ŋ k a
almannatryggingakerfinu	a l m a n a tʰ r ɪ c i ŋ k a cʰ ɛ r v ɪ n ʏ
almannatryggingar	a l m a n a tʰ r ɪ c i ŋ k a r
almannatryggingum	a l m a n a tʰ r ɪ c i ŋ k ʏ m
almannavarna	a l m a n a v a r t n a
almannavarnir	a l m a n a v a r t n ɪ r
almannavörnum	a l m a n a v œ r t n ʏ m
almannaþjónustu	a l m a n a θ j ou n ʏ s t ʏ
almannaþágu	a l m a n a θ au ɣ ʏ
almar	a l m a r
