WORD	SAMPA	PRON_VARIANT
afneita	a v n ei t a	standard_clear
afneita	a v n ei t_h a	north_clear
afnot	a v n O t	standard_clear
afnot	a v n O t_h	north_clear
afnota	a v n O t a	standard_clear
afnota	a v n O t_h a	north_clear
afnotarétt	a v n O t a r j E h t	standard_clear
afnotarétt	a v n O t_h a r j E h t	north_clear
afnumin	a v n Y m I n	all
afnám	a v n au m	all
afnámi	a v n au m I	all
afoxun	a: v O k s Y n	all
afplánun	a v p_h l au n Y n	all
afrakstur	a v r a k s t Y r	all
afraksturinn	a v r a k s t Y r I n	all
afrek	a v r E k	standard_clear
afrek	a v r E k_h	north_clear
afrifu	a v r I v Y	all
afrit	a v r I t	standard_clear
afrit	a v r I t_h	north_clear
afritunarhnappinn	a v r I t Y n a r_0 n_0 a h p I n	standard_clear
afritunarhnappinn	a v r I t_h Y n a r_0 n_0 a h p I n	north_clear
afrétti	a v r j E h t I	all
afríku	a f r i k Y	standard_clear
afríku	a f r i k_h Y	north_clear
afríkuverkefnisins	a f r i k Y v E r_0 c E p n I s I n s	standard_clear
afríkuverkefnisins	a f r i k_h Y v E r_0 c E p n I s I n s	north_clear
afsaka	a f s a k a	standard_clear
afsaka	a f s a k_h a	north_clear
afsakanirnar	a f s a k a n I r t n a r	standard_clear
afsakanirnar	a f s a k_h a n I t n a r	north_clear
afsal	a f s a l	all
afsali	a f s a l I	all
afskaplega	a f s k a p l E G a	all
afskekkt	a f s c E x t	all
afskekkta	a f s c E x t a	all
afskekktan	a f s c E x t a n	all
afskiptalaus	a f s c I f t a l 9i s	all
afskiptalausa	a f s c I f t a l 9i s a	all
afskiptasemi	a f s c I f t a s E m I	all
afskipti	a f s c I f t I	all
afskiptum	a f s c I f t Y m	all
afskrifa	a f s k r I v a	all
afskriftareikning	a f s k r I f t a r ei h k n i N k	all
afskræmt	a f s k r ai m t_h	northeast_clear
afskræmt	a f s k r ai m_0 t	standard_clear
afslappaður	a f s t l a h p a D Y r	all
afslátt	a f s t l au h t	all
afsláttar	a f s t l au h t a r	all
afsláttur	a f s t l au h t Y r	all
afslætti	a f s t l ai h t I	all
afsprengi	a f s p r ei J c I	all
afstaða	a f s t a D a	all
afstætt	a f s t ai h t	all
afstæður	a f s t ai D Y r	all
afstöðu	a f s t 9 D Y	all
afstöðubreytingu	a f s t 9 D Y p r ei t i N k Y	standard_clear
afstöðubreytingu	a f s t 9 D Y p r ei t_h i N k Y	north_clear
afstýra	a f s t i r a	all
afstýrt	a f s t i r_0 t	all
afsögn	a f s 9 k n_0	all
afsökun	a f s 9 k Y n	standard_clear
afsökun	a f s 9 k_h Y n	north_clear
afsökunarbeiðni	a f s 9 k Y n a r p ei D n I	standard_clear
afsökunarbeiðni	a f s 9 k_h Y n a r p ei D n I	north_clear
aftansöngur	a f t a n s 9i N k Y r	all
aftari	a f t a r I	all
aftarlega	a f t a r l E G a	all
aftur	a f t Y r	all
afturelding	a f t Y r E l t i N k	all
aftureldingar	a f t Y r E l t i N k a r	all
afturenda	a f t Y r E n t a	all
afturendann	a f t Y r E n t a n	all
afturgluggann	a f t Y r k l Y k a n	all
afturgoldið	a f t Y r k O l t I D	all
afturgöngu	a f t Y r_0 k 9i N k Y	all
afturgöngur	a f t Y r k 9i N k Y r	all
afturhald	a f t Y r h a l t	all
afturhvarf	a f t Y r_0 k_h v a r f	standard_clear
afturhvarf	a f t Y r_0 x a r f	south_clear
afturkalla	a f t Y r_0 k_h a t l a	all
afturkvæmt	a f t Y r_0 k_h v ai m t_h	northeast_clear
afturkvæmt	a f t Y r_0 k_h v ai m_0 t	standard_clear
afturlappirnar	a f t Y r l a h p I r t n a r	standard_clear
afturstuðarann	a f t Y r_0 s t Y D a r a n	standard_clear
afturstuðarann	a f t Y s t Y D a r a n	standard_cas
aftursæti	a f t Y r_0 s ai t I	standard_clear
aftursæti	a f t Y r_0 s ai t_h I	north_clear
aftursætið	a f t Y r_0 s ai t I D	standard_clear
aftursætið	a f t Y r_0 s ai t_h I D	north_clear
afturábak	a f t Y r au p a k	all
afturí	a f t Y r i	all
aftöku	a f t_h 9 k Y	standard_clear
aftöku	a f t_h 9 k_h Y	north_clear
aftökur	a f t_h 9 k Y r	standard_clear
aftökur	a f t_h 9 k_h Y r	north_clear
afurða	a: v Y r D a	all
afurðanna	a: v Y r D a n a	all
afurðasamsetning	a: v Y r D a s a m s E h t n i N k	all
afurðatekjum	a: v Y r D a t_h E c Y m	standard_clear
afurðatekjum	a: v Y r D a t_h E c_h Y m	north_clear
afurðir	a: v Y r D I r	all
afurðum	a: v Y r D Y m	all
afviknum	a v I h k n Y m	all
afvopna	a v O h p n a	all
afvopnun	a v O h p n Y n	all
afþakkað	a f T a h k a D	all
afþakkaði	a f T a h k a D I	all
afþreying	a f T r ei j i N k	all
afþreyingu	a f T r ei j i N k Y	all
aga	a: G a	all
agalegt	a: G a l E x t	all
aggagagg	a k a k a k	all
aggi	a c I	all
agi	ai j I	all
aginn	ai j I n	all
agn	a k n_0	all
agnar	a k n a r	all
agnarpunkts	a k n a r_0 p_h u n_0 t s	standard_clear
agnars	a k n a r_0 s	all
agnes	a k n E s	all
ags	a c j E: E s	all
aguero	a k v E r ou	all
aik	a: I: k_h au:	all
airbus	E: r_0 p 9 s	all
airlines	E: r l ai n s	all
aka	a: k a	standard_clear
aka	a: k_h a	north_clear
akkeri	a h c E r I	all
akkilesarhæll	a h c I l E s a r_0 h ai t l_0	all
akkúrat	a h k u r a t	standard_clear
aknet	a: k n E t	all
akrafjall	a: k r a f j a t l_0	standard_clear
akrafjall	a: k_h r a f j a t l_0	north_clear
akrahreppi	a: k r a r_0 E h p I	standard_clear
akrahreppi	a: k_h r a r_0 E h p I	north_clear
akranes	a: k r a n E s	standard_clear
akranes	a: k_h r a n E s	north_clear
akranesi	a: k r a n E s I	standard_clear
akranesi	a: k_h r a n E s I	north_clear
akraneskirkja	a: k r a n E s c_h I r_0 c a	standard_clear
akraneskirkja	a: k_h r a n E s c_h I r_0 c a	north_clear
akraness	a: k r a n E s	standard_clear
akraness	a: k_h r a n E s	north_clear
akrar	a: k r a r	standard_clear
akrar	a: k_h r a r	north_clear
akrein	a: k r ei n	standard_clear
akrein	a: k_h r ei n	north_clear
akreina	a: k r ei n a	standard_clear
akreina	a: k_h r ei n a	north_clear
akreinar	a: k r ei n a r	standard_clear
akreinar	a: k_h r ei n a r	north_clear
akrinum	a: k r I n Y m	standard_clear
akrinum	a: k_h r I n Y m	north_clear
akrópólis	a: k r ou p_h ou l I s	standard_clear
akrópólis	a: k_h r ou p_h ou l I s	north_clear
aksturinn	a k s t Y r I n	all
akstursklúbbi	a k s t Y r_0 s k_h l u p I	standard_clear
akstursklúbbi	a k s t Y s k_h l u p I	standard_cas
akstursleiðin	a k s t Y r_0 s t l ei D I n	all
aktygi	a: k t_h i j I	standard_clear
aktygi	a: k_h t_h i j I	north_clear
aktífir	a x t i v I r	all
aktífur	a x t i v Y r	all
akurbrekku	a: k Y r p r E h k Y	standard_clear
akurbrekku	a: k_h Y r p r E h k Y	north_clear
akureyrar	a: k Y r ei r a r	standard_clear
akureyrar	a: k_h Y r ei r a r	north_clear
akureyrarbæjar	a: k Y r ei r a r p ai j a r	standard_clear
akureyrarbæjar	a: k_h Y r ei r a r p ai j a r	north_clear
akureyrarkirkju	a: k Y r ei r a r_0 c_h I r_0 c Y	standard_clear
akureyrarkirkju	a: k_h Y r ei r a r_0 c_h I r_0 c Y	north_clear
akureyri	a: k Y r ei r I	standard_clear
akureyri	a: k_h Y r ei r I	north_clear
akureyringar	a: k Y r ei r i N k a r	standard_clear
akureyringar	a: k_h Y r ei r i N k a r	north_clear
akuryrkju	a: k Y r I r_0 c Y	standard_clear
akuryrkju	a: k_h Y r I r_0 c Y	north_clear
ala	a: l a	all
alaska	a: l a s k a	all
alaskaösp	a: l a s k a 9 s p	all
alast	a: l a s t	all
alba	a l p a	all
albaníu	a l p a n i j Y	all
albert	a l p E r_0 t	all
alberts	a l p E r_0 s	standard_cas
alberts	a l p E r_0 t s	standard_clear
albertsson	a l p E r_0 s O n	standard_cas
albertsson	a l p E r_0 t s O n	standard_clear
albjart	a l p j a r_0 t	all
alda	a l t a	all
aldamótin	a l t a m ou t I n	standard_clear
aldamótin	a l t a m ou t_h I n	north_clear
aldar	a l t a r	all
aldarinnar	a l t a r I n a r	all
aldeilis	a l t ei l I s	all
aldimmt	a l t I m_0 t	standard_clear
aldin	a l t I n	all
aldinkjötið	a l t i n c_h 9 t I D	all
aldir	a l t I r	all
aldraðir	a l t r a D I r	all
aldrei	a l t r ei	all
aldri	a l t r I	all
aldur	a l t Y r	all
aldurinn	a l t Y r I n	all
aldurs	a l t Y r_0 s	all
aldursflokkum	a l t Y r_0 s f l O h k Y m	all
aldurstakmarkið	a l t Y r_0 s t_h a k m a r_0 c I D	standard_clear
aldurstakmarkið	a l t Y s t_h a k m a r_0 c I D	standard_cas
aldurstengds	a l t Y r_0 s t_h ei N t s	standard_clear
aldurstengds	a l t Y s t_h ei N s	standard_cas
aldurtila	a l t Y r t_h I l a	all
aldís	a l t i s	all
alefli	a: l E p l I	all
alexander	a: l E k s a n t E r	all
alexandersson	a: l E k s a n t E r_0 s O n	all
alexandra	a: l E k s a n t r a	all
alfarið	a l f a r I D	all
alfreðs	a l f r E D s	standard_clear
alfreðs	a l f r E s	standard_cas
alfreðsdóttir	a l f r E D s t ou h t I r	standard_clear
alfreðsdóttir	a l v r E s t ou h t I r	standard_cas
alfreðsson	a l f r E D s O n	all
alfreðssonar	a l f r E D s O n a r	all
alfræðiorðabókin	a l f r ai D I O r D a p ou c I n	standard_clear
alfræðiorðabókin	a l f r ai D I O r D a p ou c_h I n	north_clear
alfræðiriti	a l f r ai D I r I t I	standard_clear
alfræðiriti	a l f r ai D I r I t_h I	north_clear
algeng	a l c ei N k	all
algengan	a l c ei N k a n	all
algengara	a l c ei N k a r a	all
algengari	a l c ei N k a r I	all
algengast	a l c ei N k a s t	all
algengasta	a l c ei N k a s t a	all
algengi	a l c ei J c I	all
algengra	a l c ei N k r a	all
algengt	a l c ei N_0 t	standard_clear
algengum	a l c ei N k Y m	all
algengust	a l c ei N k Y s t	all
alger	a l c E r	all
algerlega	a l c E r l E G a	all
algerrar	a l c E r a r	all
algert	a l c E r_0 t	all
algjör	a l c 9 r	all
algjöran	a l c 9 r a n	all
algjörlega	a l c 9 r l E G a	all
algjörri	a l c 9 r I	all
algjört	a l c 9 r_0 t	all
alheimur	a l h ei m Y r	all
alhliða	a: l_0 I D a	all
ali	a: l I	all
alin	a: l I n	all
alinn	a: l I n	all
alkalírafhlöður	a l k_h a l i r a f l_0 9 D Y r	northeast_clear
alkalírafhlöður	a l_0 k a l i r a f l_0 9 D Y r	standard_clear
alkominn	a l k_h O m I n	all
alkunna	a l k_h Y n a	all
alkunnu	a l k_h Y n Y	all
alkóa	a l k_h ou a	northeast_clear
alkóa	a l_0 k ou a	standard_clear
alkóhólista	a l k_h ou h ou l I s t a	northeast_clear
alkóhólista	a l_0 k ou h ou l I s t a	standard_clear
all	a t l_0	all
allan	a t l a n	all
allar	a t l a r	all
allavega	a t l a v E G a	all
allavegana	a t l a v E G a n a	all
allen	a l E n	all
allflóknu	a t l f l ou h k n Y	all
allforhertur	a t l f O r_0 h E r_0 t Y r	all
allgóður	a t l k ou D Y r	all
allhressilega	a t l_0 r_0 E s I l E G a	all
alli	a l I	all
allir	a t l I r	all
alllengi	a t l ei J c I	all
allmargar	a t l m a r k a r	all
allmikið	a t l m I c I D	standard_clear
allmikið	a t l m I c_h I D	north_clear
allmörgum	a t l m 9 r k Y m	all
allnokkra	a t l n O h k r a	all
allnokkrar	a t l n O h k r a r	all
allnokkrum	a t l n O h k r Y m	all
allnokkur	a t l n O h k Y r	all
allnokkuð	a t l n O h k Y D	all
alloft	a t l O f t	all
allra	a t l r a	all
allri	a t l r I	all
alls	a l s	all
allsber	a l s p E r	all
allsberir	a l s p E r I r	all
allsendis	a l s E n t I s	all
allsherjarnefnd	a l s h E r j a r n E m t	all
allsherjarnefndin	a l s h E r j a r n E m t I n	all
allsherjarsál	a l s h E r j a r_0 s au l	all
allsherjartákn	a l s h E r j a r_0 t_h au h k n	all
allsherjarþinginu	a l s h E r j a r_0 T i J c I n Y	all
allskonar	a l s k_h O n a r	all
allskostar	a l s k_h O s t a r	all
allskyns	a l s c I n s	all
allsráðandi	a l s r au D a n t I	all
allstaðar	a l s t a D a r	all
allstóran	a t l_0 s t ou r a n	all
allstórir	a t l_0 s t ou r I r	all
allt	a l_0 t	all
alltaf	a l_0 t a f	all
alltof	a l_0 t O f	all
alltsvo	a l_0 t s O	all
alltumlykjandi	a l_0 t Y m l I c a n t I	standard_clear
alltumlykjandi	a l_0 t Y m l I c_h a n t I	north_clear
alltént	a l_0 t_h j E n t_h	northeast_clear
alltént	a l_0 t_h j E n_0 t	standard_clear
allur	a t l Y r	all
allverulega	a t l v E r Y l E G a	all
allverulegt	a t l v E r Y l E x t	all
alma	a l m a	all
almannafæri	a l m a n a f ai r I	all
almannahagsmunir	a l m a n a h a x s m Y n I r	all
almannaheilla	a l m a n a h ei t l a	all
almannakambs	a l m a n a k_h a m p s	all
almannaskarð	a l m a n a s k a r D	all
almannatenglar	a l m a n a t_h ei N l a r	all
almannatrygginga	a l m a n a t_h r I c i N k a	all
almannatryggingar	a l m a n a t_h r I c i N k a r	all
almannavarna	a l m a n a v a r t n a	standard_clear
almannavarna	a l m a n a v a t n a	standard_cas
almannavarnir	a l m a n a v a r t n I r	standard_clear
almenna	a l m E n a	all
almennan	a l m E n a n	all
almennilega	a l m E n I l E G a	all
almennilegur	a l m E n I l E G Y r	all
almenning	a l m E n i N k	all
almenningi	a l m E n i J c I	all
almenninginn	a l m E n i J c I n	all
almenningnum	a l m E n i N n Y m	standard_clear
almenningnum	a l m E n i n Y m	standard_cas
almennings	a l m E n i N s	all
almenningsbókasöfn	a l m E n i N s p ou k a s 9 p n_0	standard_clear
almenningsbókasöfn	a l m E n i N s p ou k_h a s 9 p n_0	north_clear
almenningshlaupa	a l m E n i N s l_0 9i p a	standard_clear
almenningshlaupa	a l m E n i N s l_0 9i p_h a	north_clear
almenningssamgangna	a l m E n i N s a m k au N n a	standard_clear
almenningssamgangna	a l m E n i N s a m k au n a	standard_cas
almenningssamgöngum	a l m E n i N s a m k 9i N k Y m	all
almenningssamgöngur	a l m E n i N s a m k 9i N k Y r	all
almenningstindur	a l m E n i N s t_h I n t Y r	all
almenningsálitið	a l m E n i N s au l I t I D	standard_clear
almenningsálitið	a l m E n i N s au l I t_h I D	north_clear
almennir	a l m E n I r	all
almennra	a l m E n r a	all
almennrar	a l m E n r a r	all
almenns	a l m E n s	all
almennt	a l m E n t_h	northeast_clear
almennt	a l m E n_0 t	standard_clear
almennum	a l m E n Y m	all
almennur	a l m E n Y r	all
almáttugan	a l m au h t Y G a n	all
alpagreinar	a l p_h a k r ei n a r	northeast_clear
alpagreinar	a l_0 p a k r ei n a r	standard_clear
alpaklúbburinn	a l p_h a k_h l u p Y r I n	northeast_clear
alpaklúbburinn	a l_0 p a k_h l u p Y r I n	standard_clear
alrangt	a l r au N t_h	northeast_clear
alrangt	a l r au N_0 t	standard_clear
alríkislögreglan	a l r i c I s t l 9 G r E k l a n	standard_clear
alríkislögreglan	a l r i c_h I s t l 9 G r E k l a n	north_clear
alsett	a l s E h t	all
alsoddi	a l s O t I	all
alsír	a l s i r	all
altari	a l_0 t a r I	all
altarisganga	a l_0 t a r I s k au N k a	all
altarisgöngu	a l_0 t a r I s k 9i N k Y	all
altarissakramentinu	a l_0 t a r I s a k r a m E n_0 t I n Y	standard_clear
altarissakramentinu	a l_0 t a r I s a k_h r a m E n t_h I n Y	northeast_clear
altarissakramentinu	a l_0 t a r I s a k_h r a m E n_0 t I n Y	north_clear
altarissakramentið	a l_0 t a r I s a k r a m E n_0 t I D	standard_clear
altarissakramentið	a l_0 t a r I s a k_h r a m E n t_h I D	northeast_clear
altarissakramentið	a l_0 t a r I s a k_h r a m E n_0 t I D	north_clear
altarissveinn	a l_0 t a r I s v ei t n_0	all
altaristöfluna	a l_0 t a r I s t_h 9 p l Y n a	all
altekinn	a l t_h E c I n	standard_clear
altekinn	a l t_h E c_h I n	north_clear
altsvo	a l_0 t s v O	all
alvara	a l v a r a	all
alvarleg	a l v a r l E G	all
alvarlega	a l v a r l E G a	all
alvarlegan	a l v a r l E G a n	all
alvarlegar	a l v a r l E G a r	all
alvarlegir	a l v a r l ei j I r	all
alvarlegra	a l v a r l E G r a	all
alvarlegri	a l v a r l E G r I	all
alvarlegu	a l v a r l E G Y	all
alvarlegum	a l v a r l E G Y m	all
alvarlegur	a l v a r l E G Y r	all
alvarleika	a l v a r l ei k a	standard_clear
alvarleika	a l v a r l ei k_h a	north_clear
alveg	a l v E G	all
alversta	a l v E r_0 s t a	standard_clear
alversta	a l v E s t a	standard_cas
alvitur	a l v I t Y r	standard_clear
alvitur	a l v I t_h Y r	north_clear
alvöru	a l v 9 r Y	all
alvörugefni	a l v 9 r Y c E p n I	all
alvörupabba	a l v 9 r Y p_h a p a	all
alvörusvip	a l v 9 r Y s v I p	standard_clear
alvörusvip	a l v 9 r Y s v I p_h	north_clear
alúð	a: l u D	all
alúðlega	a: l u D l E G a	all
alþekkt	a l T E x t	all
alþingi	a l T i J c I	all
alþingis	a l T i J c I s	all
alþingiskosningar	a l T i J c I s k_h O s t n i N k a r	all
alþingismanna	a l T i J c I s m a n a	all
alþingismenn	a l T i J c I s m E n	all
alþjóðabankans	a l T j ou D a p au N k_h a n s	northeast_clear
alþjóðabankans	a l T j ou D a p au N_0 k a n s	standard_clear
alþjóðabankinn	a l T j ou D a p au J c_h I n	northeast_clear
alþjóðabankinn	a l T j ou D a p au J_0 c I n	standard_cas
alþjóðabankinn	a l T j ou D a p au J_0 c I n	standard_clear
alþjóðagjaldeyrissjóðsins	a l T j ou D a c a l t ei r I s j ou D s I n s	all
alþjóðagjaldeyrissjóðurinn	a l T j ou D a c a l t ei r I s j ou D Y r I n	all
alþjóðamarkaði	a l T j ou D a m a r_0 k a D I	all
alþjóðasamfélagið	a l T j ou D a s a m f j E l ai j I D	all
alþjóðasamfélagsins	a l T j ou D a s a m f j E l a x s I n s	all
alþjóðastofnana	a l T j ou D a s t O p n a n a	all
alþjóðasveitanna	a l T j ou D a s v ei t a n a	standard_clear
alþjóðasveitanna	a l T j ou D a s v ei t_h a n a	north_clear
alþjóðasveitirnar	a l T j ou D a s v ei t I r t n a r	standard_clear
alþjóðasveitirnar	a l T j ou D a s v ei t_h I r t n a r	north_clear
alþjóðasveitunum	a l T j ou D a s v ei t O n Y m	all
alþjóðavettvangi	a l T j ou D a v E h t v au J c I	all
alþjóðavæðingar	a l T j ou D a v ai D i N k a r	all
alþjóðlegar	a l T j ou D l E G a r	all
alþjóðlegir	a l T j ou D l ei j I r	all
alþjóðlegra	a l T j ou D l E G r a	all
alþjóðlegri	a l T j ou D l E G r I	all
alþjóðlegt	a l T j ou D l E x t	all
alþjóðlegum	a l T j ou D l E G Y m	all
alþjóðlegur	a l T j ou D l E G Y r	all
alþýðubandalaginu	a l T i D Y p a n t a l ai j I n Y	all
alþýðuflokksins	a l T i D Y f l O h k s I n s	all
alþýðufylkingarinnar	a l T i D Y f I l c_h i N k a r I n a r	northeast_clear
alþýðufylkingarinnar	a l T i D Y f I l_0 c i N k a r I n a r	standard_clear
alþýðusambands	a l T i D Y s a m p a n s	standard_cas
alþýðusambands	a l T i D Y s a m p a n t s	standard_clear
alþýðusambandsins	a l T i D Y s a m p a n s I n s	standard_cas
alþýðusambandsins	a l T i D Y s a m p a n t s I n s	standard_clear
ameríkaninn	a: m E r i k_h a n I n	all
amerískur	a: m E r i s k Y r	all
amfetamíni	a m f E t a m i n I	standard_clear
amfetamíni	a m f E t_h a m i n I	north_clear
amfetamínneytendur	a m f E t a m i n ei t E n t Y r	standard_clear
amfetamínneytendur	a m f E t_h a m i n ei t_h E n t Y r	north_clear
amma	a m a	all
amnesty	a m n E s t i	all
amper	a m p_h E r	northeast_clear
amper	a m_0 p E r	standard_clear
amsterdam	a m s t E r t a m	all
amtbókasafninu	a m t_h p ou k_h a s a p n I n Y	northeast_clear
amtbókasafninu	a m_0 t p ou k a s a p n I n Y	standard_clear
amtbókasafninu	a m_0 t p ou k_h a s a p n I n Y	north_clear
amtmanni	a m_0 t m a n I	standard_clear
amtmaður	a m t_h m a D Y r	northeast_clear
amtmaður	a m_0 t m a D Y r	standard_clear
amtsbókasafnið	a m t s p ou k_h a s a p n I D	northeast_clear
amtsbókasafnið	a m_0 t s p ou k a s a p n I D	standard_clear
amtsbókasafnið	a m_0 t s p ou k_h a s a p n I D	north_clear
ananas	a: n a n a s	all
and	a n t	all
anda	a n t a	all
andagift	a n t a c I f t	all
andakt	a n t a x t	all
andaktugur	a n t a x t Y G Y r	all
andapollinn	a n t a p_h O t l I n	all
andarslitrunum	a n t a r_0 s t l I t r O n Y m	standard_clear
andarslitrunum	a n t a s t l I t r O n Y m	standard_cas
andartaki	a n t a r_0 t_h a c I	standard_clear
andartaki	a n t a r_0 t_h a c_h I	north_clear
andartakið	a n t a r_0 t_h a c I D	standard_clear
andartakið	a n t a r_0 t_h a c_h I D	north_clear
andartaksins	a n t a r t_h a k s I n s	all
andartaksstund	a n t a r_0 t_h a k s t Y n t	all
andartökum	a n t a r t_h 9 k Y m	standard_clear
andartökum	a n t a r t_h 9 k_h Y m	north_clear
andarunga	a n t a r u N k a	all
andarungi	a n t a r u J c I	all
andavatn	a n t a v a h t n_0	all
andaðist	a n t a D I s t	all
anddyri	a n t I r I	all
anders	a n t E r_0 s	all
andersen	a n t E r_0 s E n	all
anderson	a n t E r_0 s O n	all
andesfjöllin	a n t E s f j 9 t l I n	all
